CustomerID,Lookalikes
C0001,"[('C0118', 0.9278), ('C0189', 0.9146), ('C0056', 0.8988)]"
C0002,"[('C0151', 0.9826), ('C0180', 0.971), ('C0010', 0.9691)]"
C0003,"[('C0073', 0.7896), ('C0144', 0.7472), ('C0091', 0.7028)]"
C0004,"[('C0165', 0.9815), ('C0101', 0.9764), ('C0195', 0.9747)]"
C0005,"[('C0123', 0.9834), ('C0186', 0.9642), ('C0061', 0.9509)]"
C0006,"[('C0026', 0.9737), ('C0187', 0.9432), ('C0196', 0.9152)]"
C0007,"[('C0080', 0.9472), ('C0125', 0.9355), ('C0120', 0.9153)]"
C0008,"[('C0017', 0.936), ('C0162', 0.9205), ('C0113', 0.92)]"
C0009,"[('C0198', 0.9723), ('C0060', 0.9676), ('C0077', 0.9666)]"
C0010,"[('C0019', 0.9712), ('C0002', 0.9691), ('C0151', 0.9423)]"
C0011,"[('C0064', 0.9243), ('C0056', 0.8582), ('C0183', 0.8448)]"
C0012,"[('C0101', 0.9902), ('C0099', 0.9653), ('C0004', 0.957)]"
C0013,"[('C0141', 0.9858), ('C0155', 0.9806), ('C0082', 0.957)]"
C0014,"[('C0058', 0.9974), ('C0062', 0.9853), ('C0097', 0.9727)]"
C0015,"[('C0095', 0.991), ('C0198', 0.9795), ('C0186', 0.9588)]"
C0016,"[('C0183', 0.9021), ('C0107', 0.896), ('C0064', 0.762)]"
C0017,"[('C0113', 0.9976), ('C0162', 0.9941), ('C0075', 0.9568)]"
C0018,"[('C0149', 0.9848), ('C0105', 0.952), ('C0182', 0.8884)]"
C0019,"[('C0010', 0.9712), ('C0077', 0.9457), ('C0180', 0.9427)]"
C0020,"[('C0110', 0.9977), ('C0080', 0.9914), ('C0176', 0.9595)]"
